13 3
1 1 0.549547756794
1 2 0.073958979614
1 3 0.0372723322217
2 1 0.255918692594
2 2 0.272800350608
2 3 0.973505013312
3 1 0.989024046583
3 2 0.488969545483
3 3 0.770895079296
4 1 0.32900154768
4 2 0.397715568526
4 3 0.139284761514
5 1 0.216997309379
5 2 0.563103178547
5 3 0.300475062551
6 1 0.625080122458
6 2 0.589916181817
6 3 0.51945890505
7 1 0.722092675996
7 2 0.122865330105
7 3 0.517584577722
8 1 0.551604875331
8 2 0.176506527433
8 3 0.496628095459
9 1 0.31282449409
9 2 0.340282771479
9 3 0.45905212071
10 1 0.0177804346364
10 2 0.447008356394
10 3 0.890239869804
11 1 0.760523052453
11 2 0.34070755507
11 3 0.699653842987
12 1 0.430038918963
12 2 0.499495818538
12 3 0.192037338555
13 1 0.700284009855
13 2 0.124939730906
13 3 0.0347550450864
14 1 1 0.600878077644
14 1 2 0.165849872833
14 1 3 0.216854774362
14 2 1 0.964668874275
14 2 2 0.17862864496
14 2 3 0.592207707349
14 3 1 0.781650728404
14 3 2 0.510411127465
14 3 3 0.794403844546
15 1 1 0.349309792527
15 1 2 0.213049483205
15 1 3 0.252421488757
15 2 1 0.986369641489
15 2 2 0.044496852405
15 2 3 0.887148233366
15 3 1 0.904021816714
15 3 2 0.517847930845
15 3 3 0.702951576657
16 1 1 0.546862982056
16 1 2 0.183523669496
16 1 3 0.123933740879
16 2 1 0.49534400205
16 2 2 0.814505345423
16 2 3 0.0736790965187
16 3 1 0.340687407147
16 3 2 0.762880439147
16 3 3 0.246528485336
17 1 1 0.615721821753
17 1 2 0.347404688674
17 1 3 0.168818393761
17 2 1 0.00811643799003
17 2 2 0.500080238368
17 2 3 0.316124915421
17 3 1 0.478307622812
17 3 2 0.522999225112
17 3 3 0.0299106368377
18 1 1 0.22340263302
18 1 2 0.374353895313
18 1 3 0.0928675822502
18 2 1 0.554233909401
18 2 2 0.264876805713
18 2 3 0.722767302179
18 3 1 0.0946444308463
18 3 2 0.145150328818
18 3 3 0.146635518857
19 1 1 0.361061355272
19 1 2 0.208152446502
19 1 3 0.351841833332
19 2 1 0.532088510188
19 2 2 0.716561492721
19 2 3 0.549968165073
19 3 1 0.0833269657543
19 3 2 0.972906463335
19 3 3 0.981071811504
20 1 1 0.506491941193
20 1 2 0.756101689039
20 1 3 0.744526237678
20 2 1 0.859897697051
20 2 2 0.415205352216
20 2 3 0.258722405328
20 3 1 0.319438434511
20 3 2 0.89686186179
20 3 3 0.459246334319
21 1 1 0.812390485394
21 1 2 0.762124310836
21 1 3 0.98356408501
21 2 1 0.923799171135
21 2 2 0.736811301723
21 2 3 0.797218358952
21 3 1 0.862277622255
21 3 2 0.611075839281
21 3 3 0.91125720581
22 1 1 0.884934822818
22 1 2 0.601350672872
22 1 3 0.0807802698025
22 2 1 0.0843200922353
22 2 2 0.838247713597
22 2 3 0.0612644909055
22 3 1 0.639082500038
22 3 2 0.83952654607
22 3 3 0.915422854048
23 1 1 0.986865054985
23 1 2 0.256041262706
23 1 3 0.999432925904
23 2 1 0.33484757949
23 2 2 0.698510567034
23 2 3 0.763982438622
23 3 1 0.266728444394
23 3 2 0.918263890288
23 3 3 0.440959964592
24 1 1 0.814606557076
24 1 2 0.261902019982
24 1 3 0.967788107119
24 2 1 0.615217154816
24 2 2 0.856090511731
24 2 3 0.176566995912
24 3 1 0.871819361029
24 3 2 0.147347915456
24 3 3 0.387273487702
25 1 1 0.576356361936
25 1 2 0.577040270709
25 1 3 0.88345765631
25 2 1 0.936681070679
25 2 2 0.433164794888
25 2 3 0.230831848765
25 3 1 0.690227216676
25 3 2 0.297948402464
25 3 3 0.829752270046
